country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Togo,32.3,32.3,32.3,32.3,32.3,35.1,37.8,37.8,37.8,38,35.8,35.8,35.8,39.3,39.3,40.3,42.9,45.8,45.8,41.4,41.4,41.6,41.6,43.6,44.2,48.7,47,47.4,45.4,45.6,47,48.7,51.8,51.7,53,56,56,56,57.2,57.4,57.4,57.4,59,58.9,61.9,60.8,60.6
Thailand,44.2,46,46,44.7,44.7,47.5,46.9,46.9,48.7,47.1,48.9,48.9,47.4,48.7,49.9,52.1,53.7,55.3,55.8,56,56.2,58.3,61.6,62.9,63.2,64.8,65.3,65.3,65.6,64.3,64.8,63.5,64,64.2,64.5,64.7,66.2,66.2,66.6,64.7,62.7,60.8,61.8,62.1,66.4,64.1,64.1
Tajikistan,,,,,,,,,,,,,,,,,34.7,29.9,21.8,20.1,25.3,23.8,23.8,23.8,23.8,22,22,22,29.5,29.5,27.6,27.8,27.8,27.8,27.8,29.6,29.6,29.6,31.1,31.1,31.1,25.1,24.7,24.7,24.7,26.1,23.9
Turkmenistan,,,,,,,,,,,,,,,,,34.2,32.5,31.4,33,35.5,35.5,35.5,35.5,35.7,35.9,35.9,35.9,35.9,33.3,35.5,35.5,37.8,38.1,38.1,38.1,36.5,36.7,38.2,38.2,38.3,40.1,39.5,38.8,39.6,39.4,41.2
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,47.1,45.4,45.7,46.5,46.6,46.6,46.9,45.4,45.4,47.5,47.5,47.7,46,43.3,44.8,46.9,48.2,50.4,50.7
Trinidad and Tobago,40.8,42,43.2,43.2,43.4,48,53.2,53.2,53.6,53.6,52.8,55.9,59.3,59.3,59.3,59.6,60.9,60.9,61.1,60.4,59.7,59.7,59.7,61.2,61.2,65.6,65.9,66.7,66.7,68.6,66.7,65.3,69.4,69.4,69.4,73.8,73.8,74.1,71.4,71.4,71.4,73.2,73.2,73.2,73.2,71.1,71.7
Tunisia,34.9,34.9,34.9,34.9,36,37.7,39.5,39.5,39.5,39.8,42.5,43,42.5,47.5,44.4,46.3,46.3,48.5,48.5,51.5,51.5,49.5,51.6,51.6,52.5,53.6,51.6,51.8,54.5,55,55,53.2,53.2,53.2,53.9,53.2,61.1,62.1,60.6,61,63.6,60.8,61.8,62.1,61.9,62.4,63.8
Turkey,38.1,38.1,38.1,38.1,38.3,40,38.8,37.1,37.8,39.7,39.7,37.8,37.8,42.4,40.7,46.3,45.4,42.8,42.8,42.8,42.2,46.5,46.5,46.5,46.6,45,46.6,46.9,43.6,43.6,41.9,42.8,47.7,44.2,44.5,46,47.3,47.3,45.7,45.9,46.1,44.1,42.8,45.3,44.5,44.7,44.6
Taiwan,32.4,34.8,34.8,34.8,34.8,39.3,39.9,40.3,41.7,42.2,42.2,43.9,43.9,45.6,49,55.1,57.8,57.4,57.1,55,55,54,54.7,54.7,56.4,65.7,68,68.5,68.5,68.5,68.2,66.7,68.5,71.7,68.1,70.2,70.2,70.7,72.5,72.5,72.9,83.3,83.3,83.8,83.8,85.8,90.5
Tanzania,39,39.5,39.5,39.5,40,40,42,45,42,42.4,42.3,45,42.5,45.3,46,49,49.2,49.3,47.1,49.8,51.8,52.6,52.6,52.9,52.9,54.2,56.5,56.5,56.5,56.8,55.7,55.7,54.2,54.2,54.2,58,58.8,58.8,55.8,55.4,57.5,59.1,63.2,60.1,58.3,61.1,63.8
Uganda,29.1,29.1,29.1,29.1,29.5,32.3,32.3,32.3,32.3,32.6,32.7,38.3,37,38.7,43.2,42.7,42.7,42.7,42.7,43.2,46.9,51.4,53,53,53.2,55.2,55.8,55.2,55.2,55.2,55.2,55.4,57.8,57.7,54.3,54.4,56.6,57.3,57.3,56.6,55.9,52.9,55.6,55.6,55.6,55.9,52
Ukraine,,,,,,,,,,,,,,,,,56,53.8,51.8,52,55.7,55.7,55.5,56.2,56.2,56.2,56.2,55.6,55.2,61.2,67.7,68,69.5,68,68,66.3,65.4,65.8,67.7,67,67.1,71.2,68.5,67.3,71.9,73.7,70.6
Uruguay,48.6,48.8,48.8,48.8,48.8,50.4,47,47,47,45.9,58.4,58.4,58.4,58.4,61.6,66,66,66,66,66.1,66.1,66.1,66.1,66.1,66.8,66.8,66.8,66.8,66.8,66.8,66.4,66.4,66.4,69.3,70,71.9,73.5,73.5,73.5,74.4,74.4,72.3,75.5,75.7,75.7,66.3,66.2
USA,52.9,53,53,52.9,52.9,61.6,60.7,60.8,60.8,62.6,62.6,62.6,62.6,62.7,63.6,66.1,66.3,66.8,67.7,67.7,67.7,67.8,67.8,68,68,72.8,71.5,71.5,71.5,71.6,72.7,72.7,72.7,74.4,74.4,77,77,77,77,74.6,77.2,76.4,73.7,74.6,74.1,76.3,69.3
Uzbekistan,,,,,,,,,,,,,,,,,46.3,46.4,44.3,43.7,43.9,44.2,44.2,43.2,43.4,43.8,43.9,43.9,44,45.2,45.2,45.3,45.3,45.3,44.3,45.6,45.7,45.7,46.2,46.9,46.9,47.3,47,47.4,49.4,52.9,52.9
Venezuela,52.7,53.1,53.1,53.1,53.1,53.1,52.1,52.1,52.6,53.7,53.7,51.8,51.8,56.8,57.6,57.4,59.1,59.1,58.9,58.9,58.9,58.9,58.9,60,67.2,69.1,69.1,69.8,69.8,69.8,70.5,69.2,70.5,70.5,70.5,70.5,72.4,72.4,72.4,72.4,70.2,71,69.6,69.2,68,65.4,64
Vietnam,50.9,51.5,51.5,52,52,53.1,52.8,52.8,53.1,52.5,52.5,52.1,53.2,53,54.9,55.8,55.8,55.8,57.1,55.4,55.4,56.5,57.4,57.4,57.4,57.4,57.6,57.8,59.5,61.8,58.1,59.8,60.9,59.5,59.5,61.6,61.6,61.6,59.1,59.1,59.1,59.3,59.3,59.3,59.9,57.3,53.3
Vanuatu,,,,,,45.6,47.8,47.8,48,48,48,48,48.6,48.6,48.6,48.8,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51,48.8,48.9,50.9,49.2,49.4,49.4,48.3,48.3,48.5,48.5,48.5,48.2,48.4,48.4,48.1,48.4,45.1,46,46,44.2,44.2
Yemen,4.3,4.3,4.3,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,6.71,17.6,18.5,18.5,19.5,17.5,16.7,16.6,14.8,14.8,16.6,14.8,16.6,14.8,14.8,16.7,17.4,17.4,17.4,15.6,15.6,15.6,16.2,16.2,18,17.1,9.59,18.8,14.1,16.1,15.4,11.2,13.5
South Africa,20.7,20.7,20.7,20.7,20.7,20.9,17.2,17.2,17.2,23.2,22.9,22.9,23.1,25.1,24.7,27.4,27.5,27.5,28.5,54.2,61,66.1,64.2,64.2,65.1,67,67.1,67.1,62.5,63.4,65.3,65.3,65.3,65.3,65.7,65.7,65.7,65.7,62.3,62.7,62.7,62.8,62.7,62.7,63.6,61.1,61.1
Zambia,35.2,35.2,35.2,35.3,35.3,36.6,37.4,37.6,37.1,37.1,37.1,37.3,37.3,37.8,38.2,41.9,41.7,44.7,44.7,44.7,44.7,45.1,45.1,45.3,45.3,48.5,48.6,48.6,48.6,48.6,47.5,47.9,48.8,48.8,47.9,49.8,48.3,49.5,50.5,49.5,49,49,48.4,53.8,55.9,53.2,51.7
Zimbabwe,21.3,21.3,21.3,21.3,21.3,40,42.8,44.3,44.2,44.3,44.4,44.6,44.7,44.6,44.6,43.7,45.9,46.2,46.2,46.2,46.6,46.6,46.8,46.8,46.8,49.6,49.6,49.6,49.8,49.8,50.4,50.4,50.4,50.4,49.5,51.7,52.6,52.6,53.1,52.7,52.2,54.6,54.3,53.8,52.8,52.5,55.6
